id,title,link,media,date
1-1,Holiday snaps saved as UK retains Freedom of Panorama,http://www.telegraph.co.uk/travel/destinations/europe/united-kingdom/articles/Holiday-snaps-saved-as-UK-retains-Freedom-of-Panorama/,Telegraph.co.uk,10/07/2015
1-2,Wikipedia jumps aboard the bogus 'freedom of panorama' bandwagon,http://www.theregister.co.uk/2015/07/02/wikipedia_jumps_on_bogus_photo_scare_to_tell_us_the_internet_is_breaking_again/,The Register,02/07/2015
1-3,Freedom of panorama: EU proposal could mean holiday snaps ...,http://www.telegraph.co.uk/travel/news/Freedom-of-panorama-EU-proposal-could-mean-holiday-snaps-breach-copyright/,Telegraph.co.uk,24/06/2015
1-4,If you want to keep sharing photos for free read this,http://www.theguardian.com/commentisfree/2015/jul/03/sharing-photos-freedom-of-panorama,The Guardian,03/07/2015
1-5,The bitter fight for Freedom of Panorama,http://www.euronews.com/2015/07/08/fight-for-freedom-of-panorama-savepos-wikipedia/,euronews,08/07/2015
1-6,A legal battle is brewing over the right to post photos of European ...,http://qz.com/656861/a-legal-battle-is-brewing-over-the-right-to-post-photos-of-european-public-art-online/,Quartz,08/04/2016
1-7,EU set to kill street photography,http://boingboing.net/2015/06/21/eu-set-to-kill-street-photogra.html,Boing Boing,21/06/2015
1-8,The EU the Gherkin and 'freedom of panorama',https://fullfact.org/europe/eu-gherkin-and-freedom-panorama/,Full Fact,29/06/2015
1-9,Freedom of Panorama: Will the EU ban landmark photography?,http://www.dw.com/en/freedom-of-panorama-will-the-eu-ban-landmark-photography/a-18554383,Deutsche Welle,30/06/2015
1-10,EU copyright reform must balance rightholders' and users' interests ...,http://www.europarl.europa.eu/news/en/news-room/20150615IPR66497/EU-copyright-reform-must-balance-rightholders%E2%80%99-and-users%E2%80%99-interests-say-MEPs,EU News,16/06/2015
10-3,News review 2015,http://www.amateurphotographer.co.uk/latest/photo-news/news-review-2015-67102,Amateur Photographer,25/12/2015
10-6,From Aaaaa! to ZZZap!: Michael Mandiberg on His Plan to Print ...,http://www.artnews.com/2015/06/24/from-aaaaa-to-zzzap-michael-mandiberg-on-his-plan-to-print-wikipedia/,ARTnews,24/06/2015
11-2,EU Copyright Reform,http://www.lexology.com/library/detail.aspx?g=a10ddb8b-2272-4a10-86d2-1a22bad7e550,Lexology (registration),03/03/2016
11-3,Danish activists demand to know why their governments block,http://boingboing.net/2010/03/02/danish-activists-dem.html,Boing Boing (blog),02/03/2010
11-6,Be Careful When Photographing the Eiffel Tower!,http://www.ipbrief.net/2014/12/02/be-careful-when-photographing-the-eiffel-tower/,American University Intellectual Property Brief,02/12/2014
12-4,Architectural Art - The Combination Of Art And Architecture Involves ...,http://www.mondaq.com/x/183766/Building+Construction/Architectural+Art+The+Combination+Of+Art+And+Architecture+Involves+Both+Opportunities+And+Risks,Mondaq News Alerts (registration),29/06/2012
12-7,Korean War Memorial is Copyrighted—Just Not by the US Government,http://dcist.com/2012/05/korean_war_memorial_is_copyrightedj.php,DCist.com,16/05/2012
2-2,Freedom of Panorama,http://www.globallegalpost.com/blogs/commentary/freedom-of-panorama-61277045/,The Global Legal Post (blog),17/07/2015
2-3,Sarà vietato fotografare edifici e monumenti?,http://www.ilpost.it/2015/07/04/lintricata-questione-della-freedom-of-panorama/,Il Post,06/07/2015
2-4,Freedom Of Panorama: Potential Law Change May Affect Us All,http://www.artlyst.com/articles/freedom-of-panorama-potential-law-change-may-effect-us-all,ArtLyst,09/07/2015
2-5,PRCA and CIPR criticise European Parliament decision to scrap ...,http://www.prweek.com/article/1353485/prca-cipr-criticise-european-parliament-decision-scrap-freedom-panorama,PR Week,28/06/2015
2-6,European Copyright Reform Could Restrict Photography in Public ...,http://hyperallergic.com/216789/european-copyright-reform-could-restrict-photography-in-public-spaces/,Hyperallergic,23/06/2015
2-7,'Absurd' law to ban photos of landmarks is rejected by EU,http://www.thetimes.co.uk/tto/news/world/europe/article4493173.ece,The Times (subscription),09/07/2015
2-8,Parliament's panoramic drama,http://www.politico.eu/article/aldes-panorama-drama-reda-copyright-report/,Politico,03/07/2015
2-9,Open Licenses And Freedom Of Panorama Recognized In Russian ...,https://www.techdirt.com/articles/20141021/03220428890/open-licenses-freedom-panorama-recognized-russian-law.shtml,Techdirt,22/10/2014
2-10,Freedom of Panorama Under Threat Across All EU States,http://news.softpedia.com/news/freedom-of-panorama-under-threat-across-all-eu-states-485434.shtml,Softpedia News,26/06/2015
3-1,Copyright: MEPs ditch plans for Google Tax tourist photo ban,http://www.euractiv.com/section/digital/news/copyright-meps-ditch-plans-for-google-tax-tourist-photo-ban/,EurActiv,09/07/2015
3-2,Supreme Court of Sweden agrees to try Bildkonst Upphovsrätt i ...,https://en.wikinews.org/wiki/Supreme_Court_of_Sweden_agrees_to_try_Bildkonst_Upphovsr%C3%A4tt_i_Sverige_versus_Wikimedia_Sverige,Wikinews,20/03/2015
3-3,Copyright: Anatomy of a controversial report,https://euobserver.com/digital/129146,EUobserver,17/06/2015
3-4,The Copyright Law That Should Have Architects Up in Arms,http://www.metropolismag.com/Point-of-View/April-2016/The-Panorama-Copyright/,Metropolis Magazine,14/04/2016
3-5,Now EU wants to BAN your photos of the London Eye and the Angel ...,http://www.express.co.uk/news/uk/586262/European-Union-ban-photos-freedom-of-panorama-Angel-of-North-London-Eye,Express.co.uk,23/06/2015
3-6,Why The EU Wants To Stop You Posting Your Vacation Photos Online,http://www.forbes.com/sites/emmawoollacott/2015/06/25/why-the-eu-wants-to-stop-you-posting-your-vacation-photos-online/,Forbes,25/06/2015
3-8,Photographing public art and architecture in the EU may soon cost you,http://archinect.com/news/tag/613434/vote,Archinect,22/06/2015
3-9,Wikimedia Loses Case Over Photos of Public Artwork,http://fortune.com/2016/04/05/wikimedia-sweden-artworks/,Fortune,05/04/2016
3-10,Belgian and French copyright laws ban photos of EP buildings,https://euobserver.com/justice/126375,EUobserver,04/11/2014
4-1,Taking a selfie inside the National Gallery - a copyright infringement?,http://www.legalweek.com/legal-week/blog-post/2362056/taking-a-selfie-inside-the-national-gallery-a-copyright-infringement,Legal Week (blog),27/08/2014
4-2,DSM Watch: EU Commission launches consultation on ...,http://www.lexology.com/library/detail.aspx?g=d0ed9ad0-51a0-4581-a2e7-377094b54e67,Lexology (registration),05/04/2016
4-3,EU wants control over our holiday snaps amazingly enough,http://www.thecommentator.com/article/5950/eu_wants_control_over_our_holiday_snaps_amazingly_enough,The Commentator,01/07/2015
4-4,Blog - Global view,http://www.globallegalpost.com/blogs/global-view/by-day-and-by-night---two-different-stories-at-the-eiffel-tower-6410796/,The Global Legal Post (blog),19 févr. 2015
4-5,“Google tax” on snippets under serious consideration by European ...,http://arstechnica.co.uk/tech-policy/2016/03/european-copyright-google-tax-on-snippets/,Ars Technica UK,24/03/2016
4-6,EU Commission Public Consultation on Copyright Value Chain and ...,http://www.lexology.com/library/detail.aspx?g=af9e4aa9-9907-4db4-8d61-cc0f07e5063c,Lexology (registration),06/04/2016
4-7,Andy McSmith's Diary: A landmark EU ruling to end selfies? If only...,http://www.independent.co.uk/news/uk/politics/andy-mcsmiths-diary-a-landmark-eu-ruling-to-end-selfies-if-only-10370148.html,The Independent,06/07/2015
4-9,More than 300000 people have signed a petition against ...,http://www.amateurphotographer.co.uk/latest/photo-news/30000-back-petition-against-barking-european-copyright-plan-as-mep-behind-proposal-speaks-out-54756,Amateur Photographer,26/06/2015
5-3,A Ban on CD Ripping Marks This Year's Lowest Point in ...,https://www.eff.org/deeplinks/2015/12/international-copyright-law-2015-review,EFF,25/12/2015
5-5,Il Parlamento Europeo difende la “libertà di panorama”,http://www.fotozona.it/magazine/parlamento-europeo-difende-liberta-panorama-47419,FotoZona,10/07/2015
5-6,EU leak reveals plans to rein in Google Facebook and encourage ...,http://arstechnica.co.uk/tech-policy/2016/04/eu-online-platform-regulation-google-facebook/,Ars Technica UK,27/04/2016
5-8,Freedoom of Panorama? Oppure no…,http://fattoadarte.corriere.it/2015/07/30/freedoom-of-panorama-oppure-no/,Corriere della Sera,30/07/2015
5-10,MEPs vote to protect geo-blocking from copyright reform,http://www.euractiv.com/section/digital/news/meps-vote-to-protect-geo-blocking-from-copyright-reform/,EurActiv,17/06/2015
6-1,Taking photos of Superlambananas could be banned under ...,http://www.wirralglobe.co.uk/news/13350886.Taking_photos_of_Superlambananas_could_be_banned_under_European_Union_law_change/,Wirral Globe,24/06/2015
6-6,Campaign launched against 'barking' European plan to censor ...,http://www.amateurphotographer.co.uk/latest/photo-news/campaign-launched-against-barking-european-plan-to-censure-photos-of-buildings-54628,Amateur Photographer,24/06/2015
6-7,Over 200000 Sign Petition to Stop EU Blocking Your Pics Of London ...,http://www.breitbart.com/london/2015/07/03/over-200000-sign-petition-to-stop-eu-blocking-your-pics-of-london-eye/,Breitbart News,03/07/2015
7-1,Freedom of panorama il parlamento europeo salva la libertà di ...,http://tech.fanpage.it/liberta-di-panorama-il-parlamento-europeo-salva-la-liberta-di-fotografare-i-monumenti/,Tech Fanpage,15/07/2015
7-2,EU proposal that could ban snaps of the North artworks branded ...,http://www.chroniclelive.co.uk/news/north-east-news/eu-proposal-could-ban-snaps-9527887,ChronicleLive,27/06/2015
7-3,[Interview] Screenwriters call for EU rights on royalties,https://euobserver.com/news/128128,EUobserver,25/03/2015
7-4,Europe's top tech news April 2016,http://arstechnica.co.uk/business/2016/05/europe-top-tech-news-april-2016/,Ars Technica UK,02/05/2016
7-5,Should public art be in the public domain? Sweden doesn't think so,https://www.apollo-magazine.com/should-public-art-be-in-the-public-domain-sweden-doesnt-think-so/,Apollo Magazine (blog),21/04/2016
7-8,iTunes is Illegal: Why Copyright Laws Need a Drastic Overhaul,http://culturedvultures.com/itunes-illegal-copyright-laws-need-drastic-overhaul/,Cultured Vultures (blog),07/08/2015
8-2,Wikimedia's Sweden Art Map 'Violated Copyright',http://news.filehippo.com/2016/04/wikimedias-sweden-art-map-violated-copyright/,FileHippo News,11/04/2016
8-6,Taking an artsy selfie in Stockholm? You might need to pay royalities,http://www.theregister.co.uk/2016/04/07/taking_an_artsy_selfie_in_stockholm_you_might_need_to_pay_royalities/,The Register,07/04/2016
8-7,EU Sees Flurry Of IP Policy Activity,http://www.ip-watch.org/2015/06/11/eu-sees-flurry-of-intellectual-property-policy-activities/,Intellectual Property Watch,11/06/2015
9-1,PRWeek and PRCA announce PR Internships Awards shortlist,http://www.prweek.com/article/1351725/prweek-prca-announce-pr-internships-awards-shortlist,PR Week,16/06/2015
9-3,Do street photographers need to get a signed model-release form ...,http://www.amateurphotographer.co.uk/latest/photo-news/street-photographers-guidance-60009,Amateur Photographer,28/08/2015
9-4,Defining a public domain for copyright and data legislation at the ...,http://blogs.lse.ac.uk/mediapolicyproject/2015/08/03/defining-a-public-domain-for-copyright-and-data-legislation-at-the-european-parliament/,EUROPP - European Politics and Policy (blog),03/08/2015
9-8,Roundup: A Rembrandt returns finding Mary Ellen Mark's iconic ...,http://www.latimes.com/entertainment/arts/miranda/la-et-cam-roundup-rembrandt-returns-finding-mary-ellen-mark-smoking-girl-20150629-column.html,Los Angeles Times,29/06/2015
